"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"443809";"";"Enseignant";"BHATARAI001";"Zéphyrine";"zephyrine.bhatarai001";"zephyrine.bhatarai001";"danm8xvv";"BRETON";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"37496";"";"Enseignant";"FRIEND001";"Héline";"heline.friend001";"heline.friend001";"9zwxpv69";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1744619";"";"Enseignant";"GOGGIN001";"Davy";"davy.goggin001";"davy.goggin001";"8x33kbpe";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1954851";"";"Enseignant";"HARDIMAN001";"Zia";"zia.hardiman001";"zia.hardiman001";"bcaxvbj6";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1268272";"";"Enseignant";"INASHA001";"Janie";"janie.inasha001";"janie.inasha001";"xgp3bfnr";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1260815";"";"Enseignant";"JUDD001";"Eliena";"eliena.judd001";"eliena.judd001";"yx43phbh";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1967391";"";"Enseignant";"KEN001";"Xavier-Alexandre";"xavier-alexandre.ken001";"xavier-alexandre.ken001";"hyxzkxn3";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1650187";"";"Enseignant";"MAGGIO001";"Marie-Renée";"marie-renee.maggio001";"marie-renee.maggio001";"mwm7dt8g";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"129602";"";"Enseignant";"MATTIOLI001";"Erminie";"erminie.mattioli001";"erminie.mattioli001";"ngmk5jj5";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1035687";"";"Enseignant";"MURUTHALA001";"Ghassane";"ghassane.muruthala001";"ghassane.muruthala001";"evnpfk3y";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1801157";"";"Enseignant";"NIYAZA001";"Rawda";"rawda.niyaza001";"rawda.niyaza001";"86hrt8yv";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1159243";"";"Enseignant";"PEROU001";"Maéra";"maera.perou001";"maera.perou001";"65kcf3ks";"BRETON";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1668966";"";"Enseignant";"PETRUS001";"Kaori";"kaori.petrus001";"kaori.petrus001";"54r6es6j";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1404619";"";"Enseignant";"SAPHI001";"Elphie";"elphie.saphi001";"elphie.saphi001";"yrzfxybz";"SANS SPECIALITE";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1917804";"";"Enseignant";"SAUDA001";"Satya";"satya.sauda001";"satya.sauda001";"34y6nvxx";"BRETON";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"1114385";"";"Enseignant";"WILFORD001";"Özlem";"ozlem.wilford001";"ozlem.wilford001";"kn38x5kr";"DIRECTION";"E.E.PU-PRAT-FOEN-GUIDEL";"";"";""
"703610";"";"Élève";"ACHARYA001";"Kénaëlle";"kenaelle.acharya001";"kenaelle.acharya001";"fmfa346n";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228078 - CM2";"";"Zackary TATAICHY001, Stelle SINAYOKO001"
"797858";"";"Élève";"ALASSANE001";"Sylviane";"sylviane.alassane001";"sylviane.alassane001";"xgzyd9se";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228073 - CM1";"";"Nahel BONGIOVANNI001, Saci GANDINI001"
"717002";"";"Élève";"ALE001";"Yannic";"yannic.ale001";"yannic.ale001";"bfv744zx";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228077 - CE2";"";"Theliau KENDALL001, Marie-Régine TYRRELL001"
"1816753";"";"Élève";"AMATA001";"Genesis";"genesis.amata001";"genesis.amata001";"ryx5jmx8";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228070 - CE1";"";"Jaïan COOKE001, Lohanna ROKAY001"
"544059";"";"Élève";"AREESHA001";"Melvynn";"melvynn.areesha001";"melvynn.areesha001";"hzgg3bm6";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228064 - CP";"";"Vinca YONJAN001, Marylaine CAI001"
"633260";"";"Élève";"ASSAD001";"Mohamed-Amin";"mohamed-amin.assad001";"mohamed-amin.assad001";"8xndvxts";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228076 - CM1";"";"Ottmar MARKEY001, Kaylliah BOURKE001"
"927916";"";"Élève";"AWALE001";"Celim";"celim.awale001";"celim.awale001";"bwd44yze";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228079 - CM2";"";"Sabri HAY001, Marie-Stella PANDE001"
"1589512";"";"Élève";"AZEEZ001";"Fanya";"fanya.azeez001";"fanya.azeez001";"azykp7ke";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228079 - CM2";"";"Loueï CEPAN001, Délizia CRESSWELL001"
"1053345";"";"Élève";"BA001";"Amadeu";"amadeu.ba001";"amadeu.ba001";"9fxydz75";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228070 - CE1";"";"Zackary TATAICHY001, Stelle SINAYOKO001"
"1611223";"";"Élève";"BA001";"Lily-Ann";"lily-ann.ba001";"lily-ann.ba001";"zdpwdr4g";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228074 - CM1";"";"Zaineb GUPTA001, Aissia POUDIOUGO001"
"1880547";"";"Élève";"BACCI001";"Shay";"shay.bacci001";"shay.bacci001";"6rbxrdm5";"";"E.E.PU-PRAT-FOEN-GUIDEL";"228066 - CE1";"";"Ramiz O'KEEFFE001, Tariq HALLIDAY001"
