"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"785794";"";"Enseignant";"BERARDI001";"Ahsen";"ahsen.berardi001";"ahsen.berardi001";"34vzdkxw";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"685917";"";"Enseignant";"CARLI001";"Eleanna";"eleanna.carli001";"eleanna.carli001";"xzpv4xrx";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"572901";"";"Enseignant";"CARNEVALE001";"Milyana";"milyana.carnevale001";"milyana.carnevale001";"hs7f8cwe";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"749011";"";"Enseignant";"CROWTHER001";"Natanaelle";"natanaelle.crowther001";"natanaelle.crowther001";"vgvrcfs3";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"158294";"";"Enseignant";"EGAN001";"Morjiane";"morjiane.egan001";"morjiane.egan001";"cybndrdx";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"1480343";"";"Enseignant";"GIUDICI001";"Tiziana";"tiziana.giudici001";"tiziana.giudici001";"dswnjjms";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"1331009";"";"Enseignant";"KAMDEL001";"Dalel";"dalel.kamdel001";"dalel.kamdel001";"vhpveffd";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"1962420";"";"Enseignant";"MAROTTA001";"Djoy";"djoy.marotta001";"djoy.marotta001";"vnhwh3az";"SANS OBJET, ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-QUIZAC-BREST, E.E.PU-JEAN ROSTAND-BREST";"";"";""
"1445616";"";"Enseignant";"MATTEI001";"Edouarda";"edouarda.mattei001";"edouarda.mattei001";"an6kdw5b";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"1374011";"";"Enseignant";"NEENA001";"Blondine";"blondine.neena001";"blondine.neena001";"svjz7apv";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"1186989";"";"Enseignant";"PLEDGER001";"Cunegonde";"cunegonde.pledger001";"cunegonde.pledger001";"jzdfezyn";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"1360739";"";"Enseignant";"RITCHIE001";"Nezaket";"nezaket.ritchie001";"nezaket.ritchie001";"ynhyavsx";"SANS SPECIALITE";"E.E.PU-QUIZAC-BREST";"";"";""
"1589613";"";"Enseignant";"RIYAZA001";"Elienne";"elienne.riyaza001";"elienne.riyaza001";"a6tyynfx";"COORDINATION REP";"E.E.PU-QUIZAC-BREST";"";"";""
"1280762";"";"Enseignant";"SHEA001";"Hideya";"hideya.shea001";"hideya.shea001";"ctv6sd4c";"SANS OBJET";"E.E.PU-QUIZAC-BREST";"";"";""
"1783983";"";"Élève";"ADAMO001";"Redgy";"redgy.adamo001";"redgy.adamo001";"arte3apf";"";"E.E.PU-QUIZAC-BREST";"221559 - PS";"";"Alhena BUXTON001, Odyssée BELLUCCI001"
"1706687";"";"Élève";"ALDRIDGE001";"Irina";"irina.aldridge001";"irina.aldridge001";"je8db6pw";"";"E.E.PU-QUIZAC-BREST";"221556 - CM2";"";"Johanel GILLESPIE001, Khadidjah HASHIM001"
"1580338";"";"Élève";"ALIM001";"Calina";"calina.alim001";"calina.alim001";"6bgj8rhr";"";"E.E.PU-QUIZAC-BREST";"221558 - CE1";"";"Jahleel PUGLISI001, Jahnaëlle ZEENA001"
"1244972";"";"Élève";"ALPHA001";"Nadjida";"nadjida.alpha001";"nadjida.alpha001";"jwgnnpxf";"";"E.E.PU-QUIZAC-BREST";"221556 - CM2";"";"Panpi FIRASHA001, Abby-Gaelle MESSINA001"
"36513";"";"Élève";"AMIN001";"Teotim";"teotim.amin001";"teotim.amin001";"n687n8km";"";"E.E.PU-QUIZAC-BREST";"221555 - CM2";"";"Carine IHSANA001, Vinicio WHARTON001"
"1537399";"";"Élève";"ANEESA001";"Raymone";"raymone.aneesa001";"raymone.aneesa001";"fpngb6g5";"";"E.E.PU-QUIZAC-BREST";"221562 - CE1";"";"Briséïs WEST001, Jephté WONG001, Ellyne DHOLI001"
"64048";"";"Élève";"ASHCROFT001";"Maïwen";"maiwen.ashcroft001";"maiwen.ashcroft001";"8nz3rkv6";"";"E.E.PU-QUIZAC-BREST";"221558 - CE1";"";"Schaima FUREY001"
