"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1339562";"";"Enseignant";"DAO001";"Lev";"lev.dao001";"lev.dao001";"zyy8tjwz";"SANS OBJET";"E.E.PU-RENE GUY CADOU-PLESCOP";"";"";""
"147519";"";"Enseignant";"FAINAZ001";"Hemeric";"hemeric.fainaz001";"hemeric.fainaz001";"rrwg5zy4";"SANS SPECIALITE";"E.E.PU-RENE GUY CADOU-PLESCOP";"";"";""
"1400987";"";"Enseignant";"GIUFFRIDA001";"Azza";"azza.giuffrida001";"azza.giuffrida001";"ctn9k4cj";"SANS SPECIALITE";"E.E.PU-RENE GUY CADOU-PLESCOP";"";"";""
"1666201";"";"Enseignant";"LITTLE001";"Sarai";"sarai.little001";"sarai.little001";"8cf4txgx";"SANS SPECIALITE";"E.E.PU-RENE GUY CADOU-PLESCOP";"";"";""
"1381956";"";"Enseignant";"MORAN001";"Shems";"shems.moran001";"shems.moran001";"s3jttepf";"DIRECTION";"E.E.PU-RENE GUY CADOU-PLESCOP";"";"";""
"1218141";"";"Enseignant";"NASIF001";"Meïlane";"meilane.nasif001";"meilane.nasif001";"36ketzfs";"SANS SPECIALITE";"E.E.PU-RENE GUY CADOU-PLESCOP";"";"";""
"1900958";"";"Enseignant";"NIUSHAD001";"Maréva";"mareva.niushad001";"mareva.niushad001";"jcgezzsd";"SANS SPECIALITE";"E.E.PU-RENE GUY CADOU-PLESCOP";"";"";""
"407753";"";"Enseignant";"RAOOF001";"Janet";"janet.raoof001";"janet.raoof001";"pxvtnvpc";"SANS SPECIALITE";"E.E.PU-RENE GUY CADOU-PLESCOP";"";"";""
"1030217";"";"Élève";"ADHIKARI001";"Myrianne";"myrianne.adhikari001";"myrianne.adhikari001";"sksddhdj";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229102 - CE1";"";"Dipa GURUN001, Muammer MINELLI001"
"1219748";"";"Élève";"ADNAN001";"Rais";"rais.adnan001";"rais.adnan001";"x8456bfa";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229102 - CE1";"";"Zaïda MCGUIRK001, Siméon FAUZY001"
"449847";"";"Élève";"AGRAHARI001";"Lylian";"lylian.agrahari001";"lylian.agrahari001";"9gf4wvb4";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229108 - CM2";"";"Dafné RAZEEF001, Artheme CANNING001"
"414234";"";"Élève";"AIELLO001";"Timae";"timae.aiello001";"timae.aiello001";"fbz7zkc8";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229106 - CM1";"";"Linaëlle SCANLAN001, Salif VADA001"
"45209";"";"Élève";"ALBERT001";"Warren";"warren.albert001";"warren.albert001";"bx8xxzfd";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229108 - CM2";"";"Toine MUMTHAZ001, Hynd NORRIS001"
"809873";"";"Élève";"ALEONAR001";"Mandela";"mandela.aleonar001";"mandela.aleonar001";"bwbbzbfh";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229101 - CE1";"";"Diane-Laure DANSOKO001, Joan COZZOLINO001"
"1035562";"";"Élève";"AMBROSINI001";"Radomir";"radomir.ambrosini001";"radomir.ambrosini001";"s3dxcjm6";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229107 - CM2";"";"Charlen RUTHERFORD001, Élif RIJAL001"
"510882";"";"Élève";"AMOR001";"Rouqaya";"rouqaya.amor001";"rouqaya.amor001";"5adhgwvj";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229104 - CE2";"";"Essra GOUGH001, Tyloé MARRAS001"
"970666";"";"Élève";"ANIL001";"Eliott";"eliott.anil001";"eliott.anil001";"wkmxxy8b";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229106 - CM1";"";"Thorsten HICKMAN001, Odessa CARBONE001"
"162880";"";"Élève";"ASHE001";"Maria-Dolorès";"maria-dolores.ashe001";"maria-dolores.ashe001";"8b67ny46";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229104 - CE2";"";"Raslen KHANAL001, Gatien SIYAH001"
"491213";"";"Élève";"ASHTON001";"Maysem";"maysem.ashton001";"maysem.ashton001";"pg4zef5d";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229102 - CE1";"";"Pierre-Yann ADAMI001, Cassiano BEATTIE001"
"179812";"";"Élève";"AVASTHI001";"Humberto";"humberto.avasthi001";"humberto.avasthi001";"ys4xzxvh";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229105 - CM1";"";"Madji RAFTER001, Loujain BUDHA001"
"392109";"";"Élève";"AZZAM001";"Heddi";"heddi.azzam001";"heddi.azzam001";"4jst85n9";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229106 - CM1";"";"Anahi CREAN001, Louis-Vianney ZUBAIR001"
"257906";"";"Élève";"AZZAM001";"Time";"time.azzam001";"time.azzam001";"rsnyty6y";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229105 - CM1";"";"Hagop HOUGH001, Chamssia LOFTUS001"
"1355945";"";"Élève";"BAILEY001";"Isidore";"isidore.bailey001";"isidore.bailey001";"cvwbwypx";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229106 - CM1";"";"Tedji FALCO001, Helwane DOWLING001"
"1110340";"";"Élève";"BANJADE001";"Aricie";"aricie.banjade001";"aricie.banjade001";"k6ymhspv";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229101 - CE1";"";"Lois VAIDY001, Gils BARRY001"
"926297";"";"Élève";"BARADJI001";"Isis";"isis.baradji001";"isis.baradji001";"5gzzbs4y";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229106 - CM1";"";"Kristell RAUTA001, Driffa MASINI001"
"1825080";"";"Élève";"BASNET001";"Matvey";"matvey.basnet001";"matvey.basnet001";"n3nygz6g";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229100 - CP";"";"Serey YOGI001, Jaleel CASALE001"
"1430543";"";"Élève";"BASSANI001";"Boubakeur";"boubakeur.bassani001";"boubakeur.bassani001";"c57sa6dw";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229108 - CM2";"";"Guilia GILBERT001, Souleyemane ZAREER001"
"1353823";"";"Élève";"BENVENUTI001";"Engel";"engel.benvenuti001";"engel.benvenuti001";"sbhcdet5";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229101 - CE1";"";"Sahid HEANEY001, Edann MCDAID001"
"1657109";"";"Élève";"BERNASCONI001";"Adline";"adline.bernasconi001";"adline.bernasconi001";"rdhd7j5w";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229106 - CM1";"";"Ilaya ROSI001, Zahir DERBY001"
"1915332";"";"Élève";"BERTONI001";"Dhiya";"dhiya.bertoni001";"dhiya.bertoni001";"87dfe8f3";"";"E.E.PU-RENE GUY CADOU-PLESCOP";"229106 - CM1";"";"Marie-Gilberte RIMAL001, Tainy GRUBE001"
