"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"401780";"";"Enseignant";"MILANI001";"Ygor";"ygor.milani001";"ygor.milani001";"cg7b3grp";"SANS OBJET, SANS SPECIALITE, SANS SPECIALITE";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET, E.E.PU-JEAN GUEHENNO-QUIMPERLE";"";"";""
"148206";"";"Enseignant";"SMART001";"Johannah";"johannah.smart001";"johannah.smart001";"xzvbzmfe";"SANS SPECIALITE";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"";"";""
"211889";"";"Enseignant";"TELLY001";"Julianna";"julianna.telly001";"julianna.telly001";"83tseyrn";"SANS SPECIALITE";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"";"";""
"1210385";"";"Élève";"AMIN001";"Soufyan";"soufyan.amin001";"soufyan.amin001";"xntpst98";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"233379 - CE1";"";"Djemael LIMVUNI001, Bariza JANAH001"
"1866010";"";"Élève";"ARJEL001";"Saidou";"saidou.arjel001";"saidou.arjel001";"hsy3zzdp";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222545 - MS";"";"Terence DIGNAM001, Kalinka FATHIH001"
"1130805";"";"Élève";"ARSHAD001";"Sandryne";"sandryne.arshad001";"sandryne.arshad001";"s8srrc7m";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222544 - CM2";"";"Mathurin WELLS001, Ysma MAGRI001"
"362157";"";"Élève";"ATHERTON001";"Mohamed-Jad";"mohamed-jad.atherton001";"mohamed-jad.atherton001";"p57jnm9c";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222543 - CP";"";"Abdeljallil SLEVIN001, Phoeby EDWARD001"
"1768976";"";"Élève";"BABY001";"Luka";"luka.baby001";"luka.baby001";"g6egtb7b";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"233379 - CE1";"";"Jean-Florian MASSARI001, Anael FRANKS001"
"1560920";"";"Élève";"BAJAGAI001";"Moly";"moly.bajagai001";"moly.bajagai001";"fk686yec";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222545 - MS";"";"Arezki WATERLAND001, Zahia MONTI001"
"123488";"";"Élève";"BAJAGAI001";"Mérédith";"meredith.bajagai001";"meredith.bajagai001";"k54e53jk";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222541 - GS";"";"Yakine RANIERI001, Ana-Isabel DHOVI001"
"452584";"";"Élève";"BONI001";"Vesna";"vesna.boni001";"vesna.boni001";"rs6m43zj";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222543 - CP";"";"Negan SEARLE001, Yves-Antoine YAAMIN001"
"27615";"";"Élève";"BOSCOLO001";"Rainald";"rainald.boscolo001";"rainald.boscolo001";"phw64az8";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222545 - MS";"";"Hilan FALCONE001, Ihcène MOLTENI001"
"1524203";"";"Élève";"CAPUANO001";"Mareva";"mareva.capuano001";"mareva.capuano001";"8fhw6rnw";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"233379 - CE1";"";"Marame SHAUFA001, Antime ROUSSEAU001"
"878281";"";"Élève";"CARROLL001";"Valeran";"valeran.carroll001";"valeran.carroll001";"dtg4376e";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222541 - GS";"";"Hugo VIANELLO001, Noé JORDAN001"
"1140583";"";"Élève";"CASTAGNA001";"Fahrettin";"fahrettin.castagna001";"fahrettin.castagna001";"647b7cva";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222542 - CM2";"";"Enzo FESTA001, Patsy RUTHERFORD001"
"1997071";"";"Élève";"CODY001";"Thaïrys";"thairys.cody001";"thairys.cody001";"s658r4xm";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222541 - GS";"";"Saousane BIAGINI001, Jaya MILLETT001"
"1506373";"";"Élève";"CONNOLLY001";"Marie-Josée";"marie-josee.connolly001";"marie-josee.connolly001";"kvj6p8dg";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222544 - CM2";"";"Jean-Robin GROVES001, Verane FRY001"
"1200358";"";"Élève";"DAO001";"Timého";"timeho.dao001";"timeho.dao001";"r8m7fcga";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222544 - CM2";"";"Juan-Manuel BERETTA001, Anaïka FANE001"
"385466";"";"Élève";"DEBI001";"Ekaitz";"ekaitz.debi001";"ekaitz.debi001";"857w7j6k";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222545 - MS";"";"Brett MORTON001, Romaysa TAMANAG001"
"722500";"";"Élève";"DEVA001";"Anick";"anick.deva001";"anick.deva001";"5xztevbz";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222543 - CP";"";"Tymaë HANSON001, Janique SAMOOH001"
"21193";"";"Élève";"DHUNGAN001";"Souleyma";"souleyma.dhungan001";"souleyma.dhungan001";"b8rz56xn";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222543 - CP";"";"Penny BONE001, Guylain NYAUPANE001"
"63727";"";"Élève";"DIAMOUTENE001";"Alysa";"alysa.diamoutene001";"alysa.diamoutene001";"y8we5ewe";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222545 - MS";"";"Loic CROOK001, Viriato MATERA001"
"1871462";"";"Élève";"DOMINICI001";"Barry";"barry.dominici001";"barry.dominici001";"h8y8g8g4";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222542 - CM2";"";"Joanni DEVA001, Keyssa PRIVITERA001"
"1926293";"";"Élève";"DOWNES001";"Lylah";"lylah.downes001";"lylah.downes001";"ntef3rd7";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222545 - MS";"";"Marame SHAUFA001, Antime ROUSSEAU001"
"286054";"";"Élève";"ELIMO001";"Akim";"akim.elimo001";"akim.elimo001";"6gyfjdvf";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222542 - CM2";"";"Zaven MIGLIACCIO001, Kézia PACINI001"
"1572106";"";"Élève";"FAHEEMA001";"Arame";"arame.faheema001";"arame.faheema001";"9vhk7t8r";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222541 - GS";"";"Meric MARCELLI001, Karlie ACHARYA001"
"875546";"";"Élève";"FAHUD001";"Rose-France";"rose-france.fahud001";"rose-france.fahud001";"zbgcmcp6";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222543 - CP";"";"Angélie HALLAM001, Mayrick SAMAAH001"
"133602";"";"Élève";"FALLON001";"Miguël";"miguel.fallon001";"miguel.fallon001";"jmy6bkx5";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222542 - CM2";"";"Élijah STOREY001, Leora NEENA001"
"453115";"";"Élève";"FAVERO001";"Hadrian";"hadrian.favero001";"hadrian.favero001";"ph5tyrwm";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222541 - GS";"";"Tymaë HANSON001, Janique SAMOOH001"
"1052951";"";"Élève";"FAWCETT001";"Terese";"terese.fawcett001";"terese.fawcett001";"ncya3sbk";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222545 - MS";"";"Edwyna KICHIRO001, Thierri QUINN001"
"1033284";"";"Élève";"FINNEY001";"Djaloud";"djaloud.finney001";"djaloud.finney001";"4fwawv4s";"";"E.E.PU-SAINT-MAUDET-CLOHARS-CARNOET";"222541 - GS";"";"Sayann CHRISTIAN-MITCHELL001, Montaine BRUNI001"
