"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1228996";"";"Enseignant";"CLERKIN001";"Neilya";"neilya.clerkin001";"neilya.clerkin001";"rsj6s5we";"ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"847320";"";"Enseignant";"COLLINS001";"Carrie";"carrie.collins001";"carrie.collins001";"t9gcdcjt";"SANS OBJET, SANS SPECIALITE";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"1030363";"";"Enseignant";"D'ALESSANDRO001";"Aoued";"aoued.dalessandro001";"aoued.dalessandro001";"cj3t4bwp";"SANS OBJET";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"942145";"";"Enseignant";"DUKE001";"Gwenn";"gwenn.duke001";"gwenn.duke001";"yxeywbmh";"SANS OBJET";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"1200092";"";"Enseignant";"FOSSATI001";"Sumeyya";"sumeyya.fossati001";"sumeyya.fossati001";"fzz6c6s9";"SANS SPECIALITE";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"1893297";"";"Enseignant";"MARDI001";"Johanita";"johanita.mardi001";"johanita.mardi001";"9agntzs7";"SANS OBJET";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"1153370";"";"Enseignant";"O'BOYLE001";"Liberté";"liberte.oboyle001";"liberte.oboyle001";"4fennmj4";"DIRECTION";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"899801";"";"Enseignant";"RATTI001";"Boutayna";"boutayna.ratti001";"boutayna.ratti001";"z5yvet3z";"SANS SPECIALITE";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"491435";"";"Enseignant";"SOGORE001";"Nayel";"nayel.sogore001";"nayel.sogore001";"p6mmvnp6";"SANS SPECIALITE";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"1636762";"";"Enseignant";"VAUGHAN001";"Kaycha";"kaycha.vaughan001";"kaycha.vaughan001";"b3e3z6tp";"ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.E.PU-SIMONE VEIL-LANDERNEAU";"";"";""
"1670721";"";"Élève";"AGLEEMA001";"Pierre-Vincent";"pierre-vincent.agleema001";"pierre-vincent.agleema001";"btkbkfty";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222189 - CM2";"";"Belmehel VININ001, Elinda IQBAL001"
"368008";"";"Élève";"AMBROSIO001";"Lyssandra";"lyssandra.ambrosio001";"lyssandra.ambrosio001";"v49behwy";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222188 - CE2";"";"Ameena CALLAN001, Narjiss CROWLEY001"
"174944";"";"Élève";"AMEEZ001";"Max-Emilien";"max-emilien.ameez001";"max-emilien.ameez001";"phef7mk7";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222189 - CM2";"";"Rani ABOOBAKURU001"
"402500";"";"Élève";"AREEFA001";"Marian";"marian.areefa001";"marian.areefa001";"7pkf73ze";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222190 - CM1";"";"Akila BARLOW001, Feodor BRADBURY001"
"1305330";"";"Élève";"ASAD001";"Gireg";"gireg.asad001";"gireg.asad001";"gveyknx3";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222183 - TPS";"";"Vu WATT001, Athem RAEEFA001"
"788509";"";"Élève";"ATHERTON001";"Malône";"malone.atherton001";"malone.atherton001";"xxpf8rfj";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222188 - CE2";"";"Artemise OJHA001"
"3922";"";"Élève";"AUSTIN001";"Djessica";"djessica.austin001";"djessica.austin001";"m9d7gcgp";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222185 - GS";"";"Philippa SESSA001, Foucauld LOCATELLI001"
"1626936";"";"Élève";"AZEEMA001";"Baltazar";"baltazar.azeema001";"baltazar.azeema001";"hpfrpcz7";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222188 - CE2";"";"Maylo FAZLA001, Ulku SHAW001"
"1309236";"";"Élève";"BASKOT001";"Lenore";"lenore.baskot001";"lenore.baskot001";"v3rkz5c3";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222190 - CM1";"";"Alphonso ROONEY001, Soren CLEMENTS001"
"1361006";"";"Élève";"BEECHAM001";"Maëva";"maeva.beecham001";"maeva.beecham001";"6ne6whr6";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222187 - CE2";"";"Kancou REPETTO001, Dally PAUDYAL001"
"1538342";"";"Élève";"BERARDI001";"Eleya";"eleya.berardi001";"eleya.berardi001";"rgxvvef5";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222189 - CM2";"";"Aneline ASTON001, Parsa KHATRI001"
"577210";"";"Élève";"BHADEL001";"Nedjema";"nedjema.bhadel001";"nedjema.bhadel001";"ww7f3tjn";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222190 - CM1";"";"Sherine ZIDHUNA001, Ouday ATKINS001"
"680386";"";"Élève";"BHETUWAL001";"Selahattin";"selahattin.bhetuwal001";"selahattin.bhetuwal001";"cjca7tpb";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222190 - CM1";"";"Timhéo GASTALDI001, Ova SCOTT001"
"1390756";"";"Élève";"BHURTEL001";"Geremi";"geremi.bhurtel001";"geremi.bhurtel001";"rzyvjtb5";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222188 - CE2";"";"Belmehel VININ001, Elinda IQBAL001"
"794260";"";"Élève";"BIKA001";"Maliza";"maliza.bika001";"maliza.bika001";"3d4xszgm";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222190 - CM1";"";"Hugue BASEL001, Ynesse LEO001"
"1481812";"";"Élève";"BILLY001";"Tiffani";"tiffani.billy001";"tiffani.billy001";"8a8dfpra";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222189 - CM2";"";"Marie-Apolline SINAYOKO001, Duncan KUSARI001"
"1482413";"";"Élève";"BONO001";"Chanel";"chanel.bono001";"chanel.bono001";"w7fkcx4s";"";"E.E.PU-SIMONE VEIL-LANDERNEAU";"222186 - CP";"";"Ailyn PRENDERGAST001, Florindo SODARI001"
