"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1759228";"";"Enseignant";"WYNNE001";"Aquila";"aquila.wynne001";"aquila.wynne001";"bd974zmr";"SANS SPECIALITE";"E.E.PU-SIMONE VEIL-PLOEVEN";"";"";""
"1327164";"";"Élève";"BAGALE001";"Loma";"loma.bagale001";"loma.bagale001";"3xdj4myp";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223245 - CP";"";"Modestie GURAU001, Hakeem IMAD001"
"1906509";"";"Élève";"BAIDY001";"Remon";"remon.baidy001";"remon.baidy001";"hc7s47vk";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223246 - CM2";"";"Quitterie BRUGMAN001, Uwe CHAMBERS001"
"448184";"";"Élève";"BRAY001";"Carmeline";"carmeline.bray001";"carmeline.bray001";"ppbxyzjx";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223246 - CM2";"";"Eveline MUSAHARNI001, Jean-Wilson WAMTAR001"
"1521170";"";"Élève";"CAWLEY001";"Pathe";"pathe.cawley001";"pathe.cawley001";"dzzbn7gx";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223245 - CP";"";"Soulaimana SHERLOCK001, Contesa SHAM001"
"1548351";"";"Élève";"CRIBB001";"Arwenn";"arwenn.cribb001";"arwenn.cribb001";"a6pf3hkg";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223246 - CM2";"";"Ozvan LAFFAN001, Djamaldine NAIR001"
"1258730";"";"Élève";"CUNAR001";"Soren";"soren.cunar001";"soren.cunar001";"643yk98y";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223246 - CM2";"";"Jadène SHAAFIU001"
"276055";"";"Élève";"DHITAL001";"Coupoussamy";"coupoussamy.dhital001";"coupoussamy.dhital001";"37gnhmgj";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223245 - CP";"";"Jamie RENZI001, Tayronn VIQA001"
"1097061";"";"Élève";"FAUZY001";"Kieu";"kieu.fauzy001";"kieu.fauzy001";"7a8ptx3c";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223246 - CM2";"";"Vittoria FELICI001, Marie-Gwenaelle SHAHEEDHA001"
"737861";"";"Élève";"GASSAMA001";"Alvyne";"alvyne.gassama001";"alvyne.gassama001";"73jsegpy";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223246 - CM2";"";"Ipek SOFOORA001, Issiakha LAWLESS001"
"232428";"";"Élève";"GHARTIMAGAR001";"Zi";"zi.ghartimagar001";"zi.ghartimagar001";"rdxvby8s";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223245 - CP";"";"Ozvan LAFFAN001, Djamaldine NAIR001"
"1667429";"";"Élève";"GROSSI001";"Mohammad";"mohammad.grossi001";"mohammad.grossi001";"nx6nbfbb";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223246 - CM2";"";"Tya BONI001, Aryam KALWAR001"
"633554";"";"Élève";"GWACH001";"Leonien";"leonien.gwach001";"leonien.gwach001";"fvj66yc3";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223245 - CP";"";"Raimond SHAFEEQ001, Kala VACCARO001"
"1838508";"";"Élève";"HARWOOD001";"Ludwick";"ludwick.harwood001";"ludwick.harwood001";"mgr5jc3r";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223245 - CP";"";"Ipek SOFOORA001, Issiakha LAWLESS001"
"1423576";"";"Élève";"MATHEWS001";"Salah-Eddine";"salah-eddine.mathews001";"salah-eddine.mathews001";"sjtbfwfg";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223245 - CP";"";"Raimond SHAFEEQ001, Kala VACCARO001"
"1212299";"";"Élève";"MCBRIDE001";"Edwine";"edwine.mcbride001";"edwine.mcbride001";"h7fbbhnz";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223246 - CM2";"";"Maria-Dolorès BEECHAM001, Jean-Aymeric OCALLAGHAN001"
"927257";"";"Élève";"MILLETT001";"Louenn";"louenn.millett001";"louenn.millett001";"8xrjwmkf";"";"E.E.PU-SIMONE VEIL-PLOEVEN";"223246 - CM2";"";"Ferlande MCCAULEY001, Salomée SPADARO001"
