"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"233863";"";"Enseignant";"BIKA001";"Fanny-Laure";"fanny-laure.bika001";"fanny-laure.bika001";"x8ssws6m";"SANS SPECIALITE";"E.M.PU-ERNEST RENAN-ROSPORDEN";"";"";""
"1340003";"";"Enseignant";"CAPPELLI001";"Ounaysa";"ounaysa.cappelli001";"ounaysa.cappelli001";"zexvhpgy";"BRETON";"E.M.PU-ERNEST RENAN-ROSPORDEN";"";"";""
"1933368";"";"Enseignant";"DHILLON001";"Manyl";"manyl.dhillon001";"manyl.dhillon001";"79v49r8v";"SANS SPECIALITE";"E.M.PU-ERNEST RENAN-ROSPORDEN";"";"";""
"960817";"";"Enseignant";"NIUSHA001";"Tayanna";"tayanna.niusha001";"tayanna.niusha001";"4ydkwzzf";"SANS SPECIALITE";"E.M.PU-ERNEST RENAN-ROSPORDEN";"";"";""
"999958";"";"Enseignant";"SAMIYA001";"Evi";"evi.samiya001";"evi.samiya001";"pkpnhys7";"SANS OBJET";"E.M.PU-ERNEST RENAN-ROSPORDEN";"";"";""
"1918004";"";"Élève";"AREESHA001";"Lilo";"lilo.areesha001";"lilo.areesha001";"9h8n8y3e";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227035 - PS";"";"Jacopo NEPAL001, Exilie SHAZEEN001"
"258565";"";"Élève";"ASHCROFT001";"Klelia";"klelia.ashcroft001";"klelia.ashcroft001";"y73r7y3a";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227036 - MS";"";"Faress MCCULLAGH001, Ereen VALERIO001"
"1233117";"";"Élève";"BAIDY001";"Mohsine";"mohsine.baidy001";"mohsine.baidy001";"835gznhb";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227034 - GS";"";"Elaine VOLPI001, Dylian SOMERS001"
"1510808";"";"Élève";"BHETAWAL001";"Maélly";"maelly.bhetawal001";"maelly.bhetawal001";"pe4dwhm8";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227034 - GS";"";"Artur VAJRACARY001, Zaer MUNNELLY001"
"273469";"";"Élève";"BOHAR001";"Tsilia";"tsilia.bohar001";"tsilia.bohar001";"4pnwraca";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"229180 - GS";"";"Eléanor MUNEERA001, Ryley CUDALI001"
"888914";"";"Élève";"BOLTON001";"Raicha";"raicha.bolton001";"raicha.bolton001";"r5z4zkx3";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227034 - GS";"";"Albion BRUNO001, Eric TOUNKARA001"
"547842";"";"Élève";"BRUNO001";"Feycal";"feycal.bruno001";"feycal.bruno001";"tzrt4ynb";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"229180 - GS";"";"Amaïa COOK001, Kemal VOTE001"
"410819";"";"Élève";"BUTT001";"Flavy";"flavy.butt001";"flavy.butt001";"4fsn78pm";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227034 - GS";"";"Louis-Armand ASCIONE001, Eitan DHUNGEL001"
"1267348";"";"Élève";"CALVI001";"Chawki";"chawki.calvi001";"chawki.calvi001";"hvv78ms5";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227036 - MS";"";"Livio CHILDS001, Nagiba KUMHAL001"
"741828";"";"Élève";"CAMARA001";"Alliah";"alliah.camara001";"alliah.camara001";"knfc6gk7";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"229180 - GS";"";"Almin WAHHAB001, Geralda MOSCA001"
"1292683";"";"Élève";"CARTHY001";"Alizia";"alizia.carthy001";"alizia.carthy001";"v5s3nxpg";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227035 - PS";"";"Icrame RAJAWAHAK001, Feliciana RIMMER001"
"616222";"";"Élève";"CHAUHAN001";"Otalia";"otalia.chauhan001";"otalia.chauhan001";"8wwp9jvm";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227034 - GS";"";"Clare RAMZEE001, Djinda PAOLI001"
"676554";"";"Élève";"CHOUDHURY001";"Evgueni";"evgueni.choudhury001";"evgueni.choudhury001";"sbva5whc";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227035 - PS";"";"Piel ODONNELL001, Sélyna NASEEMA001"
"316302";"";"Élève";"COSSU001";"Lisandre";"lisandre.cossu001";"lisandre.cossu001";"pdk37hjp";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"229180 - GS";"";"Lazard BHETAWAL001, Khalide LIUSA001"
"718963";"";"Élève";"DONDE001";"Wejdi";"wejdi.donde001";"wejdi.donde001";"mfykaxdn";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227034 - GS";"";"Léo-Pol SHAUNA001, Alban FOOTE001"
"1307254";"";"Élève";"DOYLE001";"Mc";"mc.doyle001";"mc.doyle001";"gce3atj5";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227036 - MS";"";"Ezia LYDON001, Elais VITALE001"
"433750";"";"Élève";"FINCH001";"Albane";"albane.finch001";"albane.finch001";"m5gcknxk";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"229180 - GS";"";"Lazard BHETAWAL001, Khalide LIUSA001"
"1176701";"";"Élève";"FIORENTINI001";"Messua";"messua.fiorentini001";"messua.fiorentini001";"hh8kh4wd";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227035 - PS";"";"Lehna HARNEY001, Kyan KATUWAL001"
"1374874";"";"Élève";"FLAISEK001";"Astride";"astride.flaisek001";"astride.flaisek001";"84khhbg7";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227036 - MS";"";"Lucrece CRIBB001, Vincent-Marie GALLIGAN001"
"308959";"";"Élève";"GEANEY001";"Kandyce";"kandyce.geaney001";"kandyce.geaney001";"e7xcfz6c";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227035 - PS";"";"Éden LOKOPWE001, Anne-Eleonore NASEEF001"
"306737";"";"Élève";"GRAY001";"Maodo";"maodo.gray001";"maodo.gray001";"xzkj5ta8";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227036 - MS";"";"Merveille OAKLEY001, Banna CARMINATI001"
"1147141";"";"Élève";"GREENWOOD001";"Mélio";"melio.greenwood001";"melio.greenwood001";"sne3b4s7";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227034 - GS";"";"Guy-Charles COPPOLA001, Jacobine SUBEDI001"
"1761404";"";"Élève";"GRIFFITHS001";"Muriane";"muriane.griffiths001";"muriane.griffiths001";"3bdd5w39";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227034 - GS";"";"Zinédine LOHAN001, Djohra HODGSON001"
"309478";"";"Élève";"HALCOMBE001";"Cindia";"cindia.halcombe001";"cindia.halcombe001";"dc8kszzm";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"227035 - PS";"";"Guerschom HOUGHTON001, Lissia NUGENT001"
"552062";"";"Élève";"KAREEM001";"Dieyna";"dieyna.kareem001";"dieyna.kareem001";"fkchvpbm";"";"E.M.PU-ERNEST RENAN-ROSPORDEN";"229180 - GS";"";"Marie-Severine NADHEEM001, Kendji PETRINI001"
