"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"920323";"";"Enseignant";"AZZA001";"Marie-Jeannine";"marie-jeannine.azza001";"marie-jeannine.azza001";"";"SANS SPECIALITE";"E.M.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1695098";"";"Enseignant";"CONWAY001";"Nahïla";"nahila.conway001";"nahila.conway001";"";"SANS OBJET";"E.M.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1353646";"";"Enseignant";"DAHIT001";"Zalya";"zalya.dahit001";"zalya.dahit001";"hcszagtg";"SANS SPECIALITE";"E.M.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1751617";"";"Enseignant";"DEEGAN001";"Assile";"assile.deegan001";"assile.deegan001";"acndayg8";"SANS SPECIALITE";"E.M.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1880722";"";"Enseignant";"FENTON001";"Laurélie";"laurelie.fenton001";"laurelie.fenton001";"633jb8kj";"SANS SPECIALITE";"E.M.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1612810";"";"Enseignant";"FIKREE001";"Mohane";"mohane.fikree001";"mohane.fikree001";"sb9wt73h";"DIRECTION";"E.M.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"317146";"";"Enseignant";"HENDERSON001";"Coralyn";"coralyn.henderson001";"coralyn.henderson001";"knmvz4mh";"SANS OBJET, SANS SPECIALITE";"E.M.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1246678";"";"Enseignant";"PINTUS001";"Bao";"bao.pintus001";"bao.pintus001";"j5ydzhht";"SANS SPECIALITE";"E.M.PU-JACQUES PREVERT-LESNEVEN";"";"";""
"1905125";"";"Élève";"AFRAH001";"Kimera";"kimera.afrah001";"kimera.afrah001";"mzwmspa5";"";"E.M.PU-JACQUES PREVERT-LESNEVEN";"228702 - PS";"";"Lu'ay MARCELLI001, Mado COSTELLOE001"
"1635419";"";"Élève";"AHLAM001";"Floryan";"floryan.ahlam001";"floryan.ahlam001";"dc5pvcnr";"";"E.M.PU-JACQUES PREVERT-LESNEVEN";"228692 - GS";"";"Dylon MAKADJI001, Jean-Roland RICHARDS001"
"1338234";"";"Élève";"AIELLO001";"Rhony";"rhony.aiello001";"rhony.aiello001";"54t3rysf";"";"E.M.PU-JACQUES PREVERT-LESNEVEN";"228693 - GS";"";"Kéryann LINEHAM001, Méissa TERRANOVA001"
"783993";"";"Élève";"ANTONINI001";"Henri-Michel";"henri-michel.antonini001";"henri-michel.antonini001";"5g544hfn";"";"E.M.PU-JACQUES PREVERT-LESNEVEN";"228694 - MS";"";"Modeste CARBERRY001"
"769194";"";"Élève";"AUJI001";"Leïlla";"leilla.auji001";"leilla.auji001";"rmnb84tp";"";"E.M.PU-JACQUES PREVERT-LESNEVEN";"228694 - MS";"";"Lahna ZULFA001, Jahron BAMTAR001"
"652538";"";"Élève";"BALL001";"Magide";"magide.ball001";"magide.ball001";"cwpyhfza";"";"E.M.PU-JACQUES PREVERT-LESNEVEN";"228694 - MS";"";"To HAISHAM001, Pierre-Matthieu AYRES001"
"67625";"";"Élève";"BAMTH001";"Armani";"armani.bamth001";"armani.bamth001";"z5747hzd";"";"E.M.PU-JACQUES PREVERT-LESNEVEN";"228691 - GS";"";"Micaël RAJAK001, Mederique GALAN001"
"337035";"";"Élève";"BANA001";"Marie-Henriette";"marie-henriette.bana001";"marie-henriette.bana001";"jwgv3mwj";"";"E.M.PU-JACQUES PREVERT-LESNEVEN";"228693 - GS";"";"Ours LYDON001, Clem RIYAZ001"
"333559";"";"Élève";"BARLETTA001";"Ansam";"ansam.barletta001";"ansam.barletta001";"dwgv96z3";"";"E.M.PU-JACQUES PREVERT-LESNEVEN";"228692 - GS";"";"Clovicia HOOKER001, Yvic NEWELL001"
