"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"57695";"";"Enseignant";"FELICI001";"Denya";"denya.felici001";"denya.felici001";"8zbsyepp";"DIRECTION";"E.M.PU-KERENTRECH-LORIENT";"";"";""
"467462";"";"Enseignant";"NAIR001";"Meghan";"meghan.nair001";"meghan.nair001";"nr56wr6p";"SANS SPECIALITE";"E.M.PU-KERENTRECH-LORIENT";"";"";""
"267737";"";"Enseignant";"REPETTO001";"Kana";"kana.repetto001";"kana.repetto001";"j484nxfx";"SANS SPECIALITE";"E.M.PU-KERENTRECH-LORIENT";"";"";""
"1616432";"";"Élève";"AHOHE001";"Angely";"angely.ahohe001";"angely.ahohe001";"8dhy8wjx";"";"E.M.PU-KERENTRECH-LORIENT";"230468 - GS";"";"Maëlye STREET001, Cindie HOARE001"
"1111361";"";"Élève";"BANDINI001";"Endza";"endza.bandini001";"endza.bandini001";"b5a7xbzs";"";"E.M.PU-KERENTRECH-LORIENT";"230467 - PS";"";"Philippe-Henri KUVANR001, Leonne KELETAONA001"
"444061";"";"Élève";"BINI001";"Sadjy";"sadjy.bini001";"sadjy.bini001";"pejpj33m";"";"E.M.PU-KERENTRECH-LORIENT";"230468 - GS";"";"Indrani SHAHIDHA001, Michel-Ange MAHARJAN001"
"678538";"";"Élève";"BLAKE001";"Abderrahmene";"abderrahmene.blake001";"abderrahmene.blake001";"mghkr8e5";"";"E.M.PU-KERENTRECH-LORIENT";"230467 - PS";"";"Laurela SARU001"
"334617";"";"Élève";"CARNEVALE001";"Izaya";"izaya.carnevale001";"izaya.carnevale001";"cmx7gh6p";"";"E.M.PU-KERENTRECH-LORIENT";"230467 - PS";"";"Rehane MELE001, Kito ALESSI001"
"720203";"";"Élève";"CASTAGNA001";"Nolan";"nolan.castagna001";"nolan.castagna001";"663p9478";"";"E.M.PU-KERENTRECH-LORIENT";"230468 - GS";"";"Awena BERMINGHAM001, Tijane CANAR001"
"1025190";"";"Élève";"CLAYTON001";"Hatem";"hatem.clayton001";"hatem.clayton001";"fv8rjcrf";"";"E.M.PU-KERENTRECH-LORIENT";"230467 - PS";"";"Keerthana BONATO001, Vishwa VICKERS001"
"554810";"";"Élève";"CREGAN001";"Maisha";"maisha.cregan001";"maisha.cregan001";"hk7338fh";"";"E.M.PU-KERENTRECH-LORIENT";"230467 - PS";"";"Norah BHARATI001, Aymerick BARTLETT001"
"831346";"";"Élève";"DAMINI001";"Nacera";"nacera.damini001";"nacera.damini001";"rng3mjd5";"";"E.M.PU-KERENTRECH-LORIENT";"230468 - GS";"";"Anabela MELI001, Chems-Eddine YATES001"
"823387";"";"Élève";"DEANE001";"Axiane";"axiane.deane001";"axiane.deane001";"mcryvw8v";"";"E.M.PU-KERENTRECH-LORIENT";"230467 - PS";"";"Aimen PASI001, Sévann GILLEN001"
