"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"131759";"";"Enseignant";"BRUCE001";"Teodora";"teodora.bruce001";"teodora.bruce001";"bhfa6n67";"SANS SPECIALITE";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"";"";""
"311023";"";"Enseignant";"CONAGHAN001";"Kyera";"kyera.conaghan001";"kyera.conaghan001";"pby8px53";"SANS SPECIALITE";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"";"";""
"1059454";"";"Enseignant";"MANYER001";"Sarah-Louise";"sarah-louise.manyer001";"sarah-louise.manyer001";"wb96khmf";"SANS SPECIALITE";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"";"";""
"1399958";"";"Enseignant";"MUHAIMIN001";"Lou-Ange";"lou-ange.muhaimin001";"lou-ange.muhaimin001";"ekep3hgh";"DIRECTION";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"";"";""
"1074455";"";"Élève";"ABDUL001";"Toinette";"toinette.abdul001";"toinette.abdul001";"bwtcnpbc";"";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"225142 - PS";"";"Joann MUNEEZ001, Snezana SABAH001"
"880813";"";"Élève";"ACHAMI001";"El-Hadj";"el-hadj.achami001";"el-hadj.achami001";"pew5a86y";"";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"232899 - GS";"";"Constantino HOGG001, Dieydi CUMMINGS001"
"1816318";"";"Élève";"AHIRA001";"Manuéla";"manuela.ahira001";"manuela.ahira001";"5kwcz5zd";"";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"225141 - PS";"";"Laélia PHIPPS001, Manyl NAZIM001"
"1402084";"";"Élève";"AHLAM001";"Andréane";"andreane.ahlam001";"andreane.ahlam001";"n3wh8dgk";"";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"225142 - PS";"";"Boubakeur FITZGERALD001, Jutta BALDINI001"
"243100";"";"Élève";"ALEMAGAR001";"Davon";"davon.alemagar001";"davon.alemagar001";"mm85rffe";"";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"225142 - PS";"";"Jorik UDDIN001, Annina VITALI001"
"67309";"";"Élève";"ALLISON001";"Floranne";"floranne.allison001";"floranne.allison001";"cab8gxpm";"";"E.M.PU-L'OPTIMIST-NOYAL-SUR-VILAINE";"225145 - GS";"";"Orokia SIVABHAKTI001, Chaïma SOFA001"
