"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"998640";"";"Enseignant";"AMIRA001";"Dris";"dris.amira001";"dris.amira001";"kj3gff7z";"DIRECTION";"E.P.PU--LE FAOUET";"";"";""
"1828715";"";"Enseignant";"LAVATI001";"Peytone";"peytone.lavati001";"peytone.lavati001";"ptthfbdx";"SANS SPECIALITE";"E.P.PU--LE FAOUET";"";"";""
"1192994";"";"Enseignant";"MAGARNI001";"Crystale";"crystale.magarni001";"crystale.magarni001";"yhg3m8am";"SANS SPECIALITE";"E.P.PU--LE FAOUET";"";"";""
"1467118";"";"Enseignant";"MARCUCCI001";"Nahele";"nahele.marcucci001";"nahele.marcucci001";"ftdw6y3f";"SANS SPECIALITE";"E.P.PU--LE FAOUET";"";"";""
"1914218";"";"Enseignant";"OUMAR001";"Rafida";"rafida.oumar001";"rafida.oumar001";"dsk4386r";"SANS SPECIALITE";"E.P.PU--LE FAOUET";"";"";""
"1063721";"";"Élève";"ALESSI001";"Charaf-Eddine";"charaf-eddine.alessi001";"charaf-eddine.alessi001";"b75zxag5";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Charazad ZEENATH001"
"966072";"";"Élève";"ARCAY001";"Ganaël";"ganael.arcay001";"ganael.arcay001";"tbja3bfm";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Constantin PATHAK001, Hassane GASTALDI001"
"1667580";"";"Élève";"ATHERTON001";"Amelin";"amelin.atherton001";"amelin.atherton001";"ftv7rkxr";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Marie-Salomé GRANT001, Élouan GABRIELLI001"
"851366";"";"Élève";"ATHIFA001";"Myosotis";"myosotis.athifa001";"myosotis.athifa001";"37v6gvnv";"";"E.P.PU--LE FAOUET";"230374 - CE1";"";"N'namou MIGLIORE001, Bilâl BARRA001"
"175840";"";"Élève";"BARBERA001";"Sayf-Eddine";"sayf-eddine.barbera001";"sayf-eddine.barbera001";"nkhvz7dp";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Esperance CASTELLI001, Yonny FILIPPINI001"
"869547";"";"Élève";"BEDFORD001";"Pierre-Raphaël";"pierre-raphael.bedford001";"pierre-raphael.bedford001";"9td784da";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Melin SUDA001, Pierre-Romain CUBUS001"
"301866";"";"Élève";"BELL001";"Diaby";"diaby.bell001";"diaby.bell001";"ca76c96t";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Bamba FAGAN001"
"669854";"";"Élève";"BETTI001";"Sterling";"sterling.betti001";"sterling.betti001";"ppczeb7k";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Zacchary ZITO001, Shakila RAFFERTY001"
"1611513";"";"Élève";"BOSI001";"Vincine";"vincine.bosi001";"vincine.bosi001";"3fnvezr5";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Shanelya HADLEY001, Mahéry EDWARDS001"
"141643";"";"Élève";"BOURKE001";"Sheldon";"sheldon.bourke001";"sheldon.bourke001";"rvw3wve4";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Marie-Josephe MARSH001, Alphee TULLY001"
"732004";"";"Élève";"BROOKS001";"Timotée";"timotee.brooks001";"timotee.brooks001";"7j6stfgz";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Marie-Alexandrine DISSA001, Obed NAHULA001"
"258313";"";"Élève";"BUDHATHOKI001";"Santo";"santo.budhathoki001";"santo.budhathoki001";"rxmhhmk6";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Vic TAMRAKAR001, Saint-Marc BAMSKOT001"
"1521372";"";"Élève";"CAMPBELL001";"Kénan";"kenan.campbell001";"kenan.campbell001";"rjsrdmxw";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Julliette DUSADIN001, Ferly FABIANI001"
"1468161";"";"Élève";"CAVALLI001";"Kaelly";"kaelly.cavalli001";"kaelly.cavalli001";"bkv5crre";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Zacchary ZITO001, Shakila RAFFERTY001"
"1366372";"";"Élève";"CICCONE001";"Aouatif";"aouatif.ciccone001";"aouatif.ciccone001";"wgbjfgy7";"";"E.P.PU--LE FAOUET";"230374 - CE1";"";"Mamassa FERNANDES001, Salime HEARNE001"
"144832";"";"Élève";"CONNORS001";"Sulaymân";"sulayman.connors001";"sulayman.connors001";"6s4srmy6";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Charles-Alban NAZEERA001, Loëva BELWASE001"
"592578";"";"Élève";"CUNAR001";"Max";"max.cunar001";"max.cunar001";"8ngebtwc";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Alou MASHA001, Paola FRANCHI001"
"1966805";"";"Élève";"DAMIANO001";"Yoris";"yoris.damiano001";"yoris.damiano001";"m7ep45n4";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Chifae SIDDHIKI001, Isaack CREEK001"
"1396167";"";"Élève";"DARAI001";"Cedrik";"cedrik.darai001";"cedrik.darai001";"mred5vye";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Loénie RAJABHANDARI001, Elliot HULL001"
"749990";"";"Élève";"DELAHUNTY001";"Kelyann";"kelyann.delahunty001";"kelyann.delahunty001";"dsnegry5";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Claude-Pierre AZLEEM001, Nargis COCK001"
"1554191";"";"Élève";"DHAMI001";"Zachari";"zachari.dhami001";"zachari.dhami001";"rzm95ved";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Aman VOLPATO001, Omer SAMAD001"
"1383855";"";"Élève";"DRAME001";"Selman";"selman.drame001";"selman.drame001";"dwaytr76";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Hanann BENINI001"
"1699743";"";"Élève";"DUIGNAN001";"Emily-Rose";"emily-rose.duignan001";"emily-rose.duignan001";"t4k7kfb4";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Lunna OH001"
"927130";"";"Élève";"DUPONT001";"Lu'ay";"luay.dupont001";"luay.dupont001";"m494sbyt";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Nilla NEMBAN001, Neriman MOOMIN001"
"502686";"";"Élève";"ENNIS001";"Pierre-Jacques";"pierre-jacques.ennis001";"pierre-jacques.ennis001";"mfgtchrx";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Abdel-Wakil MUSUMECI001, Aoua SHIFANA001"
"1249081";"";"Élève";"FAYYAZ001";"Noëla";"noela.fayyaz001";"noela.fayyaz001";"4t4p3349";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Apollon STANTON001, Christilla JHA001"
"224799";"";"Élève";"FAZEEN001";"Ziyade";"ziyade.fazeen001";"ziyade.fazeen001";"d3jxnydt";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Valere WALKINSHAW001, Guillaume RIDLEY001"
"25202";"";"Élève";"FAZLEEN001";"Radovan";"radovan.fazleen001";"radovan.fazleen001";"smgef8pt";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Kehyna WAGUE001, Bruno-Pierre PLATT001"
"1927251";"";"Élève";"FELICI001";"Olessia";"olessia.felici001";"olessia.felici001";"zdk39cds";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Nourine SARACINO001, Sefa SAMIH001"
"375902";"";"Élève";"FRAWLEY001";"Ryhem";"ryhem.frawley001";"ryhem.frawley001";"dzez7zv3";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Moe KEVATIN001, Chima MANGRATI001"
"830510";"";"Élève";"FUMAGALLI001";"Theotime";"theotime.fumagalli001";"theotime.fumagalli001";"38hwym4r";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Jhoanna WHITTLE001, Moutoussamy MARDI001"
"61754";"";"Élève";"GAGLIANO001";"Keyah";"keyah.gagliano001";"keyah.gagliano001";"bw8y4cw3";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Lexane MORELLO001, Mathia LODHA001"
"426167";"";"Élève";"GASIM001";"Mantia";"mantia.gasim001";"mantia.gasim001";"zdpvr4nm";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Athenaïs NOONE001, Massa IORIO001"
"88927";"";"Élève";"GHAFOOR001";"Dagmara";"dagmara.ghafoor001";"dagmara.ghafoor001";"rb78g7kj";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"N HARGREAVES001, Azaria SAMAHA001"
"1706231";"";"Élève";"GHALAN001";"Raheel";"raheel.ghalan001";"raheel.ghalan001";"363sn7z4";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Nilla NEMBAN001, Neriman MOOMIN001"
"1962941";"";"Élève";"GHANEE001";"Hayan";"hayan.ghanee001";"hayan.ghanee001";"jv3fkw6v";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Méryl LANGFORD001, Bettie LOHARIN001"
"1748077";"";"Élève";"GRAY001";"Rofrane";"rofrane.gray001";"rofrane.gray001";"a5pppzem";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Encarnita MULCAHY001, Yorik TATMA001"
"1023191";"";"Élève";"GRAZIOLI001";"Dominic";"dominic.grazioli001";"dominic.grazioli001";"wp9dyvxr";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Éveline SACCHI001, Enoal CURRAN001"
"509781";"";"Élève";"GUIDA001";"Sheryn";"sheryn.guida001";"sheryn.guida001";"stsrz5hk";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Valere WALKINSHAW001, Guillaume RIDLEY001"
"579129";"";"Élève";"HARPER001";"Chérif";"cherif.harper001";"cherif.harper001";"5fw53brm";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Mohamed-Tahar KARMACARY001, Louan ALEXANDER001"
"936636";"";"Élève";"HASMA001";"Rija";"rija.hasma001";"rija.hasma001";"pg87my84";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Johanna FAZNA001, Chemsdine SHAM001"
"1184663";"";"Élève";"HEFFERNAN001";"Tahia";"tahia.heffernan001";"tahia.heffernan001";"5p5ffz7p";"";"E.P.PU--LE FAOUET";"230374 - CE1";"";"Sévane BRANNIGAN001, Jamison SHAAFIU001"
"454893";"";"Élève";"HUSEN001";"Youba";"youba.husen001";"youba.husen001";"fkhymy3j";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Diadji CANAVAN001, Aidan GUNNING001"
"27850";"";"Élève";"HUSSAIN001";"Wahil";"wahil.hussain001";"wahil.hussain001";"tkv3efjw";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Jhoanna WHITTLE001, Moutoussamy MARDI001"
"742243";"";"Élève";"JAGARI001";"Marik";"marik.jagari001";"marik.jagari001";"y4jz4etx";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Medard ZAHEENA001, Kaïron NAAZ001"
"1679144";"";"Élève";"JOHNNY001";"Jamilah";"jamilah.johnny001";"jamilah.johnny001";"7dbrmv9n";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Ného NILAM001, Zoéline POKHREL001"
"1107806";"";"Élève";"KENYON001";"Vero";"vero.kenyon001";"vero.kenyon001";"4nwafyse";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Cylene HICKMAN001, Daniyal MCGRANE001"
"1708571";"";"Élève";"KHULAL001";"Lala";"lala.khulal001";"lala.khulal001";"6zgk3vfs";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Zoéline POKHREL001"
"370492";"";"Élève";"LADORE001";"Milhane";"milhane.ladore001";"milhane.ladore001";"dswvmfxg";"";"E.P.PU--LE FAOUET";"230374 - CE1";"";"Guenhaelle MARDI001, Chymene NASHID001"
"1718400";"";"Élève";"LEA001";"Aïssam";"aissam.lea001";"aissam.lea001";"smvctr5p";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Constantin PATHAK001, Hassane GASTALDI001"
"1177253";"";"Élève";"LEFEBVRE001";"Marianick";"marianick.lefebvre001";"marianick.lefebvre001";"rfcxv8pv";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Michelina BROUGHTON001, Kerry SANTINI001"
"635140";"";"Élève";"MANIKE001";"Aalya";"aalya.manike001";"aalya.manike001";"xx434h7s";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Sévane BRANNIGAN001, Jamison SHAAFIU001"
"471784";"";"Élève";"MANIKE001";"Kazimira";"kazimira.manike001";"kazimira.manike001";"sjryn3z8";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Kadouja SHANOON001"
"1983223";"";"Élève";"MASI001";"Tibor";"tibor.masi001";"tibor.masi001";"j8kkk6ff";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Louan ALEXANDER001"
"1234100";"";"Élève";"MAURI001";"Hélena";"helena.mauri001";"helena.mauri001";"pgy9dt66";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Kehyna WAGUE001, Bruno-Pierre PLATT001"
"589428";"";"Élève";"MCINTOSH001";"Boubakar";"boubakar.mcintosh001";"boubakar.mcintosh001";"49tsxhzf";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Jenny GIRI001, Aïtana MUNAZ001"
"1132484";"";"Élève";"MCNULTY001";"Saskia";"saskia.mcnulty001";"saskia.mcnulty001";"ctwthj7s";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Marysette BEECHAM001, Olga BEGHA001"
"1920109";"";"Élève";"MEERS001";"Lancelot";"lancelot.meers001";"lancelot.meers001";"mebsfr6p";"";"E.P.PU--LE FAOUET";"230374 - CE1";"";"Lan-Anh GOITA001, Sélian SHIHAM001"
"424977";"";"Élève";"MOCI001";"Thyron";"thyron.moci001";"thyron.moci001";"mmmkfd46";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Constantin PATHAK001, Hassane GASTALDI001"
"484013";"";"Élève";"MOTTA001";"Nosra";"nosra.motta001";"nosra.motta001";"cfdbyhr4";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Marlonn RADAELLI001, Jeames AMIR001"
"1431424";"";"Élève";"MUEEN001";"Mélia";"melia.mueen001";"melia.mueen001";"fkbhmrbs";"";"E.P.PU--LE FAOUET";"230374 - CE1";"";"M'hammed CASTALDO001, Djanys BROWNE001"
"1959922";"";"Élève";"MUSLIMA001";"Athys";"athys.muslima001";"athys.muslima001";"r6hk5dg7";"";"E.P.PU--LE FAOUET";"230374 - CE1";"";"Mohamed-El LORENZI001, Ghisele NAJIH001"
"1538486";"";"Élève";"NAIFA001";"Mathys";"mathys.naifa001";"mathys.naifa001";"m5xrcm76";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Myriem CURTIN001, Kristy RUBINO001"
"143224";"";"Élève";"NEALE001";"Néïla";"neila.neale001";"neila.neale001";"jfpxrkda";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Jun ADHUHAM001, Nouhaïla MONACO001"
"392787";"";"Élève";"NEALE001";"Telya";"telya.neale001";"telya.neale001";"3nw3hncv";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Faelan GLENNON001, Kintana MARCON001"
"484832";"";"Élève";"NEGI001";"Sohalia";"sohalia.negi001";"sohalia.negi001";"jzsrkf63";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Nasla RYVES001"
"955225";"";"Élève";"O'FLYNN001";"Nissya";"nissya.oflynn001";"nissya.oflynn001";"a8h4ajkb";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Lexane MORELLO001, Mathia LODHA001"
"1730371";"";"Élève";"ORLANDO001";"Anes";"anes.orlando001";"anes.orlando001";"x9rnavrz";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Wisseme ZANNI001, Jeanny SHIFAU001"
"1036355";"";"Élève";"PASAWAN001";"Solyana";"solyana.pasawan001";"solyana.pasawan001";"kh9m7bb5";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Metisse RANA001, Tahira MARSH001"
"1208821";"";"Élève";"PELLEGRINI001";"Sloan";"sloan.pellegrini001";"sloan.pellegrini001";"ecxhhsj3";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Gwenaela HAFEEZ001, Allaoua NIZAM001"
"129277";"";"Élève";"PERIN001";"Cemre";"cemre.perin001";"cemre.perin001";"37jnxmes";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Guenhaelle MARDI001, Chymene NASHID001"
"1551790";"";"Élève";"POWELL001";"Mahera";"mahera.powell001";"mahera.powell001";"jrrfjsgn";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Valere WALKINSHAW001, Guillaume RIDLEY001"
"1816975";"";"Élève";"RAEEFA001";"Nouaym";"nouaym.raeefa001";"nouaym.raeefa001";"mrnatb4h";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Mejd PANDEY001, Timoleone MAGEE001"
"633144";"";"Élève";"RASHEEDHA001";"Houssem-Eddine";"houssem-eddine.rasheedha001";"houssem-eddine.rasheedha001";"vz43mmtm";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Marie-Alexandrine DISSA001, Obed NAHULA001"
"1630901";"";"Élève";"REALE001";"Anélie";"anelie.reale001";"anelie.reale001";"4vyvy3gd";"";"E.P.PU--LE FAOUET";"230376 - CM2";"";"Nafisa RANDALL001, Joam CASELLI001"
"99226";"";"Élève";"ROBERTS001";"Firmino";"firmino.roberts001";"firmino.roberts001";"eb6gzpca";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Karita MACALOU001, Jullian SARAVARIY001"
"859350";"";"Élève";"ROSSETTO001";"Ainhoa";"ainhoa.rossetto001";"ainhoa.rossetto001";"gcb3yw7z";"";"E.P.PU--LE FAOUET";"230374 - CE1";"";"Naïlah BIANCHI001, Chu DONOHOE001"
"1158147";"";"Élève";"RUANE001";"Mavric";"mavric.ruane001";"mavric.ruane001";"7f3xejec";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Ziyan GALLINA001, Alice-Anne BAGAYOGO001"
"824873";"";"Élève";"SHANLEY001";"Jeanne-Françoise";"jeanne-francoise.shanley001";"jeanne-francoise.shanley001";"bdc5tt57";"";"E.P.PU--LE FAOUET";"230374 - CE1";"";"Pensee KHAPANGI001, Ariski SABEENA001"
"249935";"";"Élève";"SHAZLEEN001";"Andgel";"andgel.shazleen001";"andgel.shazleen001";"h38y5cee";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Shanelya HADLEY001, Mahéry EDWARDS001"
"682566";"";"Élève";"SHIRMEEN001";"Slovan";"slovan.shirmeen001";"slovan.shirmeen001";"zevxkpfd";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Maryah GODIY001"
"185000";"";"Élève";"SHUKOOR001";"Leonora";"leonora.shukoor001";"leonora.shukoor001";"5bfhc5h8";"";"E.P.PU--LE FAOUET";"230375 - CE2";"";"Aman VOLPATO001, Omer SAMAD001"
"1797578";"";"Élève";"SHUKREE001";"Yaprak";"yaprak.shukree001";"yaprak.shukree001";"6px4de5x";"";"E.P.PU--LE FAOUET";"230371 - MS";"";"Charles-Alban NAZEERA001, Loëva BELWASE001"
"238555";"";"Élève";"SIRONI001";"Habid";"habid.sironi001";"habid.sironi001";"s67rygwa";"";"E.P.PU--LE FAOUET";"230372 - GS";"";"Claude GADTAUL001, Ansar GOBBI001"
