"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1527895";"";"Enseignant";"HEMARAM001";"Scotty";"scotty.hemaram001";"scotty.hemaram001";"5k3e3a87";"SANS SPECIALITE";"E.P.PU--MENEAC";"";"";""
"85591";"";"Élève";"ALBANESE001";"Marie-Laurette";"marie-laurette.albanese001";"marie-laurette.albanese001";"x68xh5hz";"";"E.P.PU--MENEAC";"228527 - CM2";"";"Djillali DEBI001, Hamel PIZZI001"
"1959481";"";"Élève";"ANDON001";"Ifig";"ifig.andon001";"ifig.andon001";"raf9jmmj";"";"E.P.PU--MENEAC";"228527 - CM2";"";"Aïnah NUNIYAIN001, Trévys MCCONNELL001"
"646355";"";"Élève";"BUSHREE001";"Eddyson";"eddyson.bushree001";"eddyson.bushree001";"7zpffg6j";"";"E.P.PU--MENEAC";"228528 - GS";"";"Niki ZINI001"
"238408";"";"Élève";"GEOGHEGAN001";"Roumaissa";"roumaissa.geoghegan001";"roumaissa.geoghegan001";"p78fzff8";"";"E.P.PU--MENEAC";"228528 - GS";"";"Ogun LAWTON001, Sephana SHIYANA001"
"1422026";"";"Élève";"HOGG001";"Macire";"macire.hogg001";"macire.hogg001";"ffksjw8h";"";"E.P.PU--MENEAC";"228528 - GS";"";"Elaia O'GARA001, Soliman DURKAN001"
"80284";"";"Élève";"ISARA001";"Arcady";"arcady.isara001";"arcady.isara001";"78yc663v";"";"E.P.PU--MENEAC";"228528 - GS";"";"Elaia O'GARA001, Soliman DURKAN001"
"848496";"";"Élève";"KEOGH001";"Ali";"ali.keogh001";"ali.keogh001";"857k4zr7";"";"E.P.PU--MENEAC";"228527 - CM2";"";"Lorcan IORIO001, Shaïma SALEEMA001"
"274479";"";"Élève";"KHASU001";"Joss";"joss.khasu001";"joss.khasu001";"fxfghfv5";"";"E.P.PU--MENEAC";"228528 - GS";"";"Adalia SAIJU001, Louei DOODY001"
"1951559";"";"Élève";"MADEEHA001";"Morjane";"morjane.madeeha001";"morjane.madeeha001";"x5f88cfn";"";"E.P.PU--MENEAC";"228527 - CM2";"";"Dilanur KUMVAR001, Naher RAUF001"
