"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"872072";"";"Enseignant";"CASTELLANI001";"Agata";"agata.castellani001";"agata.castellani001";"ghwddk4c";"SANS SPECIALITE";"E.P.PU--QUINTIN";"";"";""
"1854617";"";"Enseignant";"CASULA001";"Eudoxie";"eudoxie.casula001";"eudoxie.casula001";"8d5kjtyt";"SANS SPECIALITE";"E.P.PU--QUINTIN";"";"";""
"543660";"";"Enseignant";"DAMINI001";"Maria-Gloria";"maria-gloria.damini001";"maria-gloria.damini001";"h35ggxfc";"SANS SPECIALITE";"E.P.PU--QUINTIN";"";"";""
"217872";"";"Enseignant";"GRAHAM001";"Kinta";"kinta.graham001";"kinta.graham001";"v7mp3bbb";"SANS OBJET";"E.P.PU--QUINTIN";"";"";""
"378636";"";"Enseignant";"JACKSON001";"Aubertine";"aubertine.jackson001";"aubertine.jackson001";"4yg46mky";"SANS SPECIALITE";"E.P.PU--QUINTIN";"";"";""
"1198898";"";"Enseignant";"LUCAS001";"Philogone";"philogone.lucas001";"philogone.lucas001";"dfngff8n";"ULIS UE TROUBLES FONCTIONS COGNITIVES";"E.P.PU--QUINTIN";"";"";""
"1907688";"";"Enseignant";"MAPELLI001";"Magaly";"magaly.mapelli001";"magaly.mapelli001";"8hfre4zw";"SANS SPECIALITE";"E.P.PU--QUINTIN";"";"";""
"1540776";"";"Enseignant";"MCARDLE001";"Maryvone";"maryvone.mcardle001";"maryvone.mcardle001";"p8whp6ga";"DIRECTION";"E.P.PU--QUINTIN";"";"";""
"11634";"";"Enseignant";"VITALI001";"Djyna";"djyna.vitali001";"djyna.vitali001";"kdp3ywj8";"BRETON";"E.P.PU--QUINTIN";"";"";""
"1107358";"";"Élève";"ABOOBAKURU001";"Aroune";"aroune.aboobakuru001";"aroune.aboobakuru001";"769h7zv3";"";"E.P.PU--QUINTIN";"229526 - CM2";"";"Quirin TOTARO001, Théia MARTUCCI001"
"1869923";"";"Élève";"AHIRIN001";"Cyrvan";"cyrvan.ahirin001";"cyrvan.ahirin001";"kggvhpkn";"";"E.P.PU--QUINTIN";"229530 - CP";"";"Naëlya LAPCA001, Fuat POTTER001"
"1020222";"";"Élève";"ALAMA001";"Cemil";"cemil.alama001";"cemil.alama001";"8zrd5rjj";"";"E.P.PU--QUINTIN";"230356 - GS";"";"Kamaria MORRISSEY001, Louis-Bernard QUANTRILL001"
"145076";"";"Élève";"ANTONINI001";"Miryem";"miryem.antonini001";"miryem.antonini001";"4wg8kjh5";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Jeremiah JABEEN001, Hamine MALONE001"
"1212692";"";"Élève";"ARCHER001";"Lindsey";"lindsey.archer001";"lindsey.archer001";"ytxhekh6";"";"E.P.PU--QUINTIN";"229526 - CM2";"";"Kaliana DIAKITE001, Mezyan BALDUCCI001"
"1720093";"";"Élève";"ASFA001";"Veia";"veia.asfa001";"veia.asfa001";"yfhg4afz";"";"E.P.PU--QUINTIN";"229530 - CP";"";"Nastia SHARAFIYYA001"
"974246";"";"Élève";"ASHLEY001";"Maé";"mae.ashley001";"mae.ashley001";"4f6wys6p";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Johnatan ADIL001, Gastonia KARNA001"
"1951375";"";"Élève";"ASHTON001";"Sayfdine";"sayfdine.ashton001";"sayfdine.ashton001";"bnxwztmt";"";"E.P.PU--QUINTIN";"229532 - CE2";"";"Hamed LINADEN001, Maiza GRACE001"
"684058";"";"Élève";"AZMEEL001";"Cezarine";"cezarine.azmeel001";"cezarine.azmeel001";"r6e8k73n";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Nursel RUGGIERI001, Hamath SHAHEER001"
"1637451";"";"Élève";"BAGAYOGO001";"Boyan";"boyan.bagayogo001";"boyan.bagayogo001";"j75wekr7";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Louliana HANIM001, Antoine-Louis TIERNEY001"
"707501";"";"Élève";"BALA001";"Maciré";"macire.bala001";"macire.bala001";"yn6y3r5s";"";"E.P.PU--QUINTIN";"229526 - CM2";"";"Dayana O'REILLY001"
"1953063";"";"Élève";"BALA001";"Niagale";"niagale.bala001";"niagale.bala001";"5npzm7k7";"";"E.P.PU--QUINTIN";"230356 - GS";"";"Virassamy CULHANE001, Judes MANCINI001"
"537434";"";"Élève";"BANNISTER001";"Ameni";"ameni.bannister001";"ameni.bannister001";"ntx9n5zt";"";"E.P.PU--QUINTIN";"229528 - CE2";"";"Siyana SENOU001, Toufirk CIDI001"
"1984703";"";"Élève";"BAREE001";"Viktor";"viktor.baree001";"viktor.baree001";"pwjjcph8";"";"E.P.PU--QUINTIN";"229528 - CE2";"";"Herrade CAVALLO001, Marie-Sylvie BUSHRY001"
"30706";"";"Élève";"BARRON001";"Eslina";"eslina.barron001";"eslina.barron001";"tekd9re4";"";"E.P.PU--QUINTIN";"229526 - CM2";"";"Fina PORRO001, Louison SODIQ001"
"587468";"";"Élève";"BERNINI001";"Florentino";"florentino.bernini001";"florentino.bernini001";"vxfxvd9z";"";"E.P.PU--QUINTIN";"229530 - CP";"";"Dallia GHEZZI001, Danton BOVE001"
"367025";"";"Élève";"BHANADARI001";"Lilyrose";"lilyrose.bhanadari001";"lilyrose.bhanadari001";"v4e6tfdx";"";"E.P.PU--QUINTIN";"229526 - CM2";"";"Dulce ARMSTRONG001, Cao O'SULLIVAN001"
"344948";"";"Élève";"BHATA001";"Naby";"naby.bhata001";"naby.bhata001";"ggpzpyyz";"";"E.P.PU--QUINTIN";"230357 - MS";"";"Abdnour BATAL001, Oline MIJAR001"
"234127";"";"Élève";"BIAGINI001";"Pierrick";"pierrick.biagini001";"pierrick.biagini001";"z65r4xcb";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Yasemine RAZEEF001, Anthime BULICHE001"
"758579";"";"Élève";"BOESE001";"Marie-Evelyne";"marie-evelyne.boese001";"marie-evelyne.boese001";"78cj8mc3";"";"E.P.PU--QUINTIN";"229526 - CM2";"";"Khaleesi WILLIAM001, Hamath SHAHEER001"
"734469";"";"Élève";"BOMJAN001";"Simine";"simine.bomjan001";"simine.bomjan001";"rp5jg4y9";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Aurélien BATAL001, Moshe CATTANEO001"
"872407";"";"Élève";"BRADSHAW001";"Turker";"turker.bradshaw001";"turker.bradshaw001";"fp5v74g6";"";"E.P.PU--QUINTIN";"230357 - MS";"";"Julie DHOVIN001, Mac BADAYAK001"
"769981";"";"Élève";"BRISTOW001";"Ajad";"ajad.bristow001";"ajad.bristow001";"rnv4867p";"";"E.P.PU--QUINTIN";"230356 - GS";"";"Quirin TOTARO001"
"1783707";"";"Élève";"BROWN001";"Kamillia";"kamillia.brown001";"kamillia.brown001";"hakp5h75";"";"E.P.PU--QUINTIN";"229531 - GS";"";"Floride MIGLIACCIO001, Evangéline NATALI001"
"254452";"";"Élève";"BUDHAKSETRI001";"Arié";"arie.budhaksetri001";"arie.budhaksetri001";"rc6f9vte";"";"E.P.PU--QUINTIN";"230357 - MS";"";"Nynon VEGHA001"
"1977641";"";"Élève";"BUSH001";"Nade";"nade.bush001";"nade.bush001";"ewjpse3j";"";"E.P.PU--QUINTIN";"229526 - CM2";"";"Theresa PRITCHARD001"
"120078";"";"Élève";"CALDER001";"Salvatore";"salvatore.calder001";"salvatore.calder001";"spkvgyzb";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Virassamy CULHANE001, Judes MANCINI001"
"800575";"";"Élève";"CAMAR001";"Maëlline";"maelline.camar001";"maelline.camar001";"7t7n36x9";"";"E.P.PU--QUINTIN";"229525 - CM2";"";"Éliel SHIYAM001, Sidony KEEPING001"
"1939079";"";"Élève";"CAMPBELL001";"Airelle";"airelle.campbell001";"airelle.campbell001";"4tpax9sj";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Babeth CHIRICO001, Nishanth MORRISON001"
"368051";"";"Élève";"CARMINATI001";"Cheima";"cheima.carminati001";"cheima.carminati001";"s3aerhpy";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Édène PRAJA001"
"628306";"";"Élève";"CASTELLANO001";"Joad";"joad.castellano001";"joad.castellano001";"zka4ecpe";"";"E.P.PU--QUINTIN";"229528 - CE2";"";"Zelina YATTASSAYE001, Lélyo MCGINTY001"
"1751333";"";"Élève";"CECCHI001";"Sten";"sten.cecchi001";"sten.cecchi001";"5zxjt6sz";"";"E.P.PU--QUINTIN";"229530 - CP";"";"Marie-Francoise ROMEO001, Francescu BAISY001"
"365971";"";"Élève";"CIPOLLA001";"Rifat";"rifat.cipolla001";"rifat.cipolla001";"53sds8r5";"";"E.P.PU--QUINTIN";"229526 - CM2";"";"Lyliane JISI001, Massiga RIZZI001"
"1784661";"";"Élève";"CONAGHAN001";"Bilitys";"bilitys.conaghan001";"bilitys.conaghan001";"n5bscaek";"";"E.P.PU--QUINTIN";"229527 - CM1";"";"Loik NEMWAN001, Khadiatou CONLAN001"
"859361";"";"Élève";"CONNELL001";"Sule";"sule.connell001";"sule.connell001";"5kgd8bcr";"";"E.P.PU--QUINTIN";"229531 - GS";"";"Haronn YONJAN001, Diarietou LAPCA001"
"1062835";"";"Élève";"COOPER001";"Asmae";"asmae.cooper001";"asmae.cooper001";"k7j6axaa";"";"E.P.PU--QUINTIN";"229525 - CM2";"";"Asier HARVEY001, Heya MUNEEZA001"
"623504";"";"Élève";"CORCORAN001";"Gastone";"gastone.corcoran001";"gastone.corcoran001";"3wfgcf3j";"";"E.P.PU--QUINTIN";"229528 - CE2";"";"Toni TAPILY001, Dieyna MIYANI001"
"1884618";"";"Élève";"DALLA001";"Melise";"melise.dalla001";"melise.dalla001";"dxkkvd4k";"";"E.P.PU--QUINTIN";"229530 - CP";"";"Ginot MUNEER001, Soaz CLANCY001"
"1498714";"";"Élève";"DANI001";"Iska";"iska.dani001";"iska.dani001";"z5ckc4t3";"";"E.P.PU--QUINTIN";"229532 - CE2";"";"Vittoria PANDE001, Jean-Franck WHITTLE001"
"528019";"";"Élève";"DANIEL001";"Yerim";"yerim.daniel001";"yerim.daniel001";"vr8xehfn";"";"E.P.PU--QUINTIN";"229526 - CM2";"";"Marie-Sonia TOBIN001, Elikya TELFER-SMITH001"
"1680632";"";"Élève";"DANIELE001";"Farhana";"farhana.daniele001";"farhana.daniele001";"r8crjdcc";"";"E.P.PU--QUINTIN";"229530 - CP";"";"Batya REEVE001, Audrik LEECH001"
"494059";"";"Élève";"DEANE001";"Isciane";"isciane.deane001";"isciane.deane001";"ctsjs734";"";"E.P.PU--QUINTIN";"229525 - CM2";"";"Shlomo KAPHLE001, Jeanick COLL001"
"1124535";"";"Élève";"DEIANA001";"Virgile";"virgile.deiana001";"virgile.deiana001";"c6zzvazx";"";"E.P.PU--QUINTIN";"230357 - MS";"";"Adoration MUEENA001, Aissam QUINN001"
"232362";"";"Élève";"DEL001";"Radhouan";"radhouan.del001";"radhouan.del001";"c6ewmw6z";"";"E.P.PU--QUINTIN";"229525 - CM2";"";"Lilienne LAVAD001"
