"Id";"Id Siecle";"Type";"Nom";"Prénom";"Login";"Alias de login";"Code d'activation";"Fonction(s)";"Structure(s)";"Classe(s)";"Enfant(s)";"Parent(s)"
"1944135";"";"Enseignant";"CALLANAN001";"Anne-Carole";"anne-carole.callanan001";"anne-carole.callanan001";"889bcejv";"SANS OBJET, SANS SPECIALITE";"E.P.PU--SAINT-AIGNAN";"";"";""
"546030";"";"Enseignant";"HARVEY001";"Ibaia";"ibaia.harvey001";"ibaia.harvey001";"ggcxbfng";"DIRECTION";"E.P.PU--SAINT-AIGNAN";"";"";""
"25956";"";"Enseignant";"VARNAWAL001";"Klelia";"klelia.varnawal001";"klelia.varnawal001";"5sh8pygg";"SANS SPECIALITE";"E.P.PU--SAINT-AIGNAN";"";"";""
"530080";"";"Élève";"BAMJAN001";"Amada";"amada.bamjan001";"amada.bamjan001";"pkt767fe";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Anissah LAZZARI001, Cumali BARAL001"
"1492272";"";"Élève";"BARTLETT001";"Sahim";"sahim.bartlett001";"sahim.bartlett001";"r4jz76vj";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Berline DAGI001"
"396116";"";"Élève";"BUFFET001";"Noora";"noora.buffet001";"noora.buffet001";"66kwxxaw";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Kajan NEWAR001, Niakale GIBBONS001"
"793872";"";"Élève";"BUTLER001";"Anielle";"anielle.butler001";"anielle.butler001";"dzmgvp4v";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Berline DAGI001"
"384221";"";"Élève";"BYRNE001";"Kislon";"kislon.byrne001";"kislon.byrne001";"xv8vpajs";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Henry THINA001, Herminie TAMANAG001"
"1409315";"";"Élève";"COSGROVE001";"Saiba";"saiba.cosgrove001";"saiba.cosgrove001";"swkxtgrp";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Tayssir GODHIN001, Soline NAKAMURA001"
"1605866";"";"Élève";"FAHUMEE001";"Rayaan";"rayaan.fahumee001";"rayaan.fahumee001";"nsbyfevy";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Rija TAJAPURIY001, Juillette CURIHAR001"
"833119";"";"Élève";"FORSYTH001";"Haffid";"haffid.forsyth001";"haffid.forsyth001";"yp4ghs7m";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Fariel GIANNONE001, Menad O'MARA001"
"1731193";"";"Élève";"GAZZARD001";"Jean-Emile";"jean-emile.gazzard001";"jean-emile.gazzard001";"t6t56497";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Emelyne AREESHA001, Porphyre WYATT001"
"1328938";"";"Élève";"GRANT001";"Michee";"michee.grant001";"michee.grant001";"vjc8pdw7";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Judickael LIMVUNI001, Ludvik THORPE001"
"805089";"";"Élève";"GUIDO001";"Maddly";"maddly.guido001";"maddly.guido001";"6ps3c8de";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Aelia JOHNS001, Dévan BARAI001"
"1592486";"";"Élève";"HANLON001";"Loui";"loui.hanlon001";"loui.hanlon001";"jsmr3npm";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Laurencie VACCA001, Christofer ARYAL001"
"1588621";"";"Élève";"KANOUTE001";"Nerina";"nerina.kanoute001";"nerina.kanoute001";"en5ek4np";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Liêm O'DOWD001, Taissy WALSHE001"
"1240369";"";"Élève";"KEALY001";"Tidian";"tidian.kealy001";"tidian.kealy001";"knsw7kf5";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Meriama DUTTON001, Lyllie NEMBANG001"
"590246";"";"Élève";"LEDDY001";"Douae";"douae.leddy001";"douae.leddy001";"r7ekvmp5";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Havin AREEF001, Alderic TOURE001"
"1710503";"";"Élève";"LYONS001";"Ayleen";"ayleen.lyons001";"ayleen.lyons001";"y7vcf46c";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Lyra CULLETON001"
"473082";"";"Élève";"MACKEN001";"Akshan";"akshan.macken001";"akshan.macken001";"z8avtzxk";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Celuta AHIRANI001, Djawen SHAFEEG001"
"941128";"";"Élève";"MALLIK001";"Guillain";"guillain.mallik001";"guillain.mallik001";"z6sefrdm";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Liêm O'DOWD001, Taissy WALSHE001"
"1889847";"";"Élève";"MCCULLAGH001";"Daris";"daris.mccullagh001";"daris.mccullagh001";"xtzfsms5";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Éponine SALL001, Mallé NATA001"
"140900";"";"Élève";"MCGUIRE001";"Theva";"theva.mcguire001";"theva.mcguire001";"sgft874k";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Nowen GUARINO001, Enzo NASEER001"
"1944028";"";"Élève";"MITCHELL001";"Linaïs";"linais.mitchell001";"linais.mitchell001";"cpwxpfff";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Berline DAGI001"
"982212";"";"Élève";"MONTANARI001";"Yuta";"yuta.montanari001";"yuta.montanari001";"wyehb56d";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Assil BOOTH001"
"531723";"";"Élève";"NASEER001";"Emric";"emric.naseer001";"emric.naseer001";"66fz4kv5";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Fergal MIAH001, Camillia JENKINS001"
"988404";"";"Élève";"NIHAADH001";"Coryne";"coryne.nihaadh001";"coryne.nihaadh001";"cvfys8ns";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Boniface DAMGI001, Ashraf ROTUK001"
"1105469";"";"Élève";"RAHMAAN001";"Faria";"faria.rahmaan001";"faria.rahmaan001";"7mz3nsh8";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Kajan NEWAR001, Niakale GIBBONS001"
"102549";"";"Élève";"RENZI001";"Tissem";"tissem.renzi001";"tissem.renzi001";"jkz4mfhn";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Meili KHULAL001, Brewal TOMASELLI001"
"173004";"";"Élève";"RUBINO001";"Safwane";"safwane.rubino001";"safwane.rubino001";"ag84myez";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Jahnaelle BHARIN001, Harone CALO001"
"864519";"";"Élève";"SEBASTIANI001";"Rheira";"rheira.sebastiani001";"rheira.sebastiani001";"hejsfx4s";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Houleymata CUDDY001, Pablo SOFOORA001"
"508712";"";"Élève";"SEERY001";"Jorry";"jorry.seery001";"jorry.seery001";"5rjzf4dv";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Houleymata CUDDY001, Pablo SOFOORA001"
"989381";"";"Élève";"SHAAN001";"Mickael";"mickael.shaan001";"mickael.shaan001";"tskgnghm";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Betsy DONALDSON001, Jonathane SHAKIRA001"
"1595556";"";"Élève";"SHATHIR001";"Kaella";"kaella.shathir001";"kaella.shathir001";"jacwsc4v";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Sylvain BUTTERWORTH001, Lyra CULLETON001"
"437271";"";"Élève";"SPENCER001";"Aldino";"aldino.spencer001";"aldino.spencer001";"6ckskj3v";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Anissa DONOVAN001, Florisse MCGUIRE001"
"342098";"";"Élève";"SUIZA001";"Nolwene";"nolwene.suiza001";"nolwene.suiza001";"xtsxwct5";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Celuta AHIRANI001, Djawen SHAFEEG001"
"1936795";"";"Élève";"VALLE001";"Sehriban";"sehriban.valle001";"sehriban.valle001";"wbksxwmx";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Jilan KATWAL001, Fantin LEIGH001"
"1097693";"";"Élève";"VENTURINI001";"Finda";"finda.venturini001";"finda.venturini001";"bez6kczr";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Fariel GIANNONE001, Menad O'MARA001"
"373534";"";"Élève";"WEBSTER001";"Sammuel";"sammuel.webster001";"sammuel.webster001";"g6nffpx7";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"";"Aymee GUILFOYLE001, Gary PAPINI001"
"1590904";"";"Élève";"ZUHURY001";"Alès";"ales.zuhury001";"ales.zuhury001";"whgm6twg";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"";"Emelyne AREESHA001, Porphyre WYATT001"
"1946199";"";"Parent";"AHIRANI001";"Celuta";"celuta.ahirani001";"celuta.ahirani001";"nkyz8bxy";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2, 224465 - GS";"Nolwene SUIZA001, Akshan MACKEN001";""
"505598";"";"Parent";"AREEF001";"Havin";"havin.areef001";"havin.areef001";"7cxghfw5";"";"E.P.PU--SAINT-AIGNAN";"224465 - GS";"Douae LEDDY001";""
"175661";"";"Parent";"AREESHA001";"Emelyne";"emelyne.areesha001";"emelyne.areesha001";"4sfssje8";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2, 224465 - GS";"Alès ZUHURY001, Jean-Emile GAZZARD001";""
"298543";"";"Parent";"BARAI001";"Dévan";"devan.barai001";"devan.barai001";"38dcfma6";"";"E.P.PU--SAINT-AIGNAN";"224466 - CM2";"Maddly GUIDO001, Romario BREEN001";""
